description,name,cv_mean,cv_std,r2_train,r2_test,gen_err
Lasso on selected features,Lasso,0.8243,0.0543,0.8397,0.8346,0.0051
LinearRegression on Selected Features,LinearRegression,0.8243,0.0541,0.8397,0.8344,0.0053
Ridge on selected features,Ridge,0.8255,0.0516,0.8392,0.8335,0.0057
Baseline Linear Regression,LinearRegression,0.6544,0.2208,0.8551,0.8444,0.0107
Polynomial Lasso on selected features,Pipeline,0.8424,0.0587,0.9199,0.863,0.0569
Polynomial Ridge on selected features,Pipeline,0.7698,0.0411,0.9293,0.8224,0.1069
