description,name,cv_mean,cv_std,r2_train,r2_test,gen_err
Poly Lasso on selected features,Pipeline,0.9152,0.0802,0.9794,0.9423,0.0371
Polynomial Ridge on Selected Features,Pipeline,0.8662,0.0958,0.985,0.906,0.079
Lasso on selected features,Lasso,0.9463,0.0175,0.9698,0.8812,0.0886
Ridge on Selected features,Ridge,0.946,0.0174,0.9701,0.8713,0.0988
Feature Selection on LinearRegression,LinearRegression,0.9455,0.0185,0.9701,0.8676,0.1025
Baseline LinearRegression,LinearRegression,0.9071,0.0315,0.9736,0.8531,0.1205
